/ Control Events;;;;;

EVT_LWRMAIN_CAPT_BACKGROUND_BRT;69969;337
EVT_LWRMAIN_CAPT_AFDS_BRT;69970;338

EVT_LWRMAIN_FO_INBD_DU_BRT;70139;507
EVT_LWRMAIN_FO_INBD_DU_INNER_BRT;70140;508
EVT_LWRMAIN_FO_MAIN_PANEL_BRT;70142;510
EVT_LWRMAIN_FO_OUTBD_DU_BRT;70141;509


/ GPWS;;
EVT_GPWS_SYS_TEST_BTN;70132;500
EVT_GPWS_FLAP_INHIBIT_SWITCH;70133;501
EVT_GPWS_FLAP_INHIBIT_GUARD;70134;502
EVT_GPWS_GEAR_INHIBIT_SWITCH;70135;503
EVT_GPWS_GEAR_INHIBIT_GUARD;70136;504
EVT_GPWS_TERR_INHIBIT_SWITCH;70137;505
EVT_GPWS_TERR_INHIBIT_GUARD;70138;506

/ Chronometers;;
EVT_CHRONO_L_CHR;69946;314
EVT_CHRONO_L_TIME_DATE;69947;315
EVT_CHRONO_L_SET;69948;316
EVT_CHRONO_L_PLUS;69949;317
EVT_CHRONO_L_MINUS;69950;318
EVT_CHRONO_L_RESET;69952;320
EVT_CHRONO_L_ET;69953;321
EVT_CHRONO_R_CHR;70155;523
EVT_CHRONO_R_TIME_DATE;70156;524
EVT_CHRONO_R_SET;70157;525
EVT_CHRONO_R_PLUS;70158;526
EVT_CHRONO_R_MINUS;70159;527
EVT_CHRONO_R_RESET;70161;529
EVT_CHRONO_R_ET;70162;530
EVT_CLOCK_L;70522;890
EVT_CLOCK_R;70525;893

/ Control Stand;;
/;;
EVT_CONTROL_STAND_TRIM_WHEEL;70310;678
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER;70311;679
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_DOWN;76423;6791
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_ARM;76424;6792
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_50PCT;76425;6793
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_FLT_DET;76426;6794
EVT_CONTROL_STAND_SPEED_BRAKE_LEVER_UP;76427;6795
EVT_CONTROL_STAND_REV_THRUST1_LEVER;70312;680
EVT_CONTROL_STAND_REV_THRUST2_LEVER;70313;681
EVT_CONTROL_STAND_FWD_THRUST1_LEVER;70315;683
EVT_CONTROL_STAND_FWD_THRUST2_LEVER;70318;686
EVT_CONTROL_STAND_TOGA1_SWITCH;70316;684
EVT_CONTROL_STAND_TOGA2_SWITCH;70319;687
EVT_CONTROL_STAND_AT1_DISENGAGE_SWITCH;70314;682
EVT_CONTROL_STAND_AT2_DISENGAGE_SWITCH;70317;685
EVT_CONTROL_STAND_ENG1_START_LEVER;70320;688
EVT_CONTROL_STAND_ENG2_START_LEVER;70321;689
EVT_CONTROL_STAND_PARK_BRAKE_LEVER;70325;693
EVT_CONTROL_STAND_STABTRIM_ELEC_SWITCH;70341;709
EVT_CONTROL_STAND_STABTRIM_ELEC_SWITCH_GUARD;70342;710
EVT_CONTROL_STAND_STABTRIM_AP_SWITCH;70343;711
EVT_CONTROL_STAND_STABTRIM_AP_SWITCH_GUARD;70344;712
EVT_CONTROL_STAND_HORN_CUTOUT_SWITCH;70345;713
EVT_CONTROL_STAND_FLAPS_LEVER;70346;714
EVT_CONTROL_STAND_FLAPS_LEVER_0;76773;7141
EVT_CONTROL_STAND_FLAPS_LEVER_1;76774;7142
EVT_CONTROL_STAND_FLAPS_LEVER_2;76775;7143
EVT_CONTROL_STAND_FLAPS_LEVER_5;76776;7144
EVT_CONTROL_STAND_FLAPS_LEVER_10;76777;7145
EVT_CONTROL_STAND_FLAPS_LEVER_15;76778;7146
EVT_CONTROL_STAND_FLAPS_LEVER_25;76779;7147
EVT_CONTROL_STAND_FLAPS_LEVER_30;76780;7148
EVT_CONTROL_STAND_FLAPS_LEVER_40;76781;7149

/ FLT  DK DOOR Panel;;
EVT_FLT_DK_DOOR_KNOB;70466;834
EVT_STAB_TRIM_OVRD_SWITCH_GUARD;70462;830
EVT_STAB_TRIM_OVRD_SWITCH;70463;831


/ VHF Panels;;
EVT_NAV1_TRANSFER_SWITCH;70361;729

EVT_NAV1_TEST_SWICTH;70363;731
EVT_NAV1_INNER_SELECTOR;70364;732
EVT_NAV1_OUTER_SELECTOR;70365;733

EVT_NAV2_TRANSFER_SWITCH;70477;845

EVT_NAV2_TEST_SWICTH;70479;847
EVT_NAV2_OUTER_SELECTOR;70480;848
EVT_NAV2_INNER_SELECTOR;70481;849

/ ADF Panel;;
EVT_ADF_MODE_SELECTOR;70450;818
EVT_ADF_TONE_SWITCH;70452;820
EVT_ADF_INNER_SELECTOR;70454;822
EVT_ADF_MIDDLE_SELECTOR;70455;823
EVT_ADF_OUTER_SELECTOR;70456;824
EVT_ADF_TRANSFER_SWITCH;70459;827

/ SELCAL Panel;;
EVT_SELCAL_VHF1_SWITCH;70444;812
EVT_SELCAL_VHF2_SWITCH;70445;813
EVT_SELCAL_VHF3_SWITCH;70446;814
EVT_SELCAL_HF1_SWITCH;70569;937
EVT_SELCAL_HF2_SWITCH;70570;938

/ COMM Panels;;
EVT_COM1_TRANSFER_SWITCH;70353;721

EVT_COM1_HF_SENSOR_KNOB;70356;724
EVT_COM1_TEST_SWICTH;70357;725
EVT_COM1_OUTER_SELECTOR;70358;726
EVT_COM1_INNER_SELECTOR;70359;727
;;
EVT_COM1_PNL_OFF_SWITCH;70535;903

EVT_COM1_VHF1_SWITCH;70536;904
EVT_COM1_VHF2_SWITCH;70538;906
EVT_COM1_VHF3_SWITCH;70540;908
EVT_COM1_HF1_SWITCH;70542;910
EVT_COM1_AM_SWITCH;70544;912
EVT_COM1_HF2_SWITCH;70546;914


EVT_COM2_TRANSFER_SWITCH;70469;837

EVT_COM2_HF_SENSOR_KNOB;70472;840
EVT_COM2_TEST_SWICTH;70473;841
EVT_COM2_OUTER_SELECTOR;70474;842
EVT_COM2_INNER_SELECTOR;70475;843

EVT_COM2_PNL_OFF_SWITCH;70556;924

EVT_COM2_VHF1_SWITCH;70557;925
EVT_COM2_VHF2_SWITCH;70559;927
EVT_COM2_VHF3_SWITCH;70561;929
EVT_COM2_HF1_SWITCH;70563;931
EVT_COM2_AM_SWITCH;70565;933
EVT_COM2_HF2_SWITCH;70567;935

EVT_COM3_TRANSFER_SWITCH;70578;946
